from,to,relation,start,end ,date
6,1,3,,,
6,3,2,,,
6,5,2,,,
7,1,3,,,
7,5,3,,,
7,3,3,,,
7,30,3,,,
7,2,3,,,
26,3,2,,,
26,6,2,,,
26,5,2,,,
26,1,3,,,
26,29,3,,,
5,1,3,6,,
5,3,2,11,,
5,2,3,,,
5,7,3,,,
1,29,5,,,
3,5,2,,,
3,1,3,,,
3,30,3,,,
2,4,1,,,
2,27,1,,,
2,9,2,,,
2,1,2,,,
2,28,1,,,
4,2,1,,,
4,28,1,,,
4,27,1,,,
4,1,3,,,
4,29,3,6,,
27,29,2,,,
27,4,1,,,
27,2,1,,,
27,28,1,,,
27,1,3,,,
28,29,3,,,
28,1,3,,,
28,27,1,,,
28,4,1,,,
28,2,1,,,
29,7,2,,,
29,2,3,,,
29,4,3,,,
29,28,3,,,
29,27,2,,,
30,7,2,,,
30,2,3,,,
30,3,3,,,
30,5,3,,,
30,1,3,,,
31,3,3,,,
31,5,3,,,
15,24,4,,,
16,24,2,7,,
19,24,3,,,
20,11,3,,,
22,11,2,,,
22,23,2,,,
47,1,2,,,
51,3,2,,,
51,5,2,,,
51,1,4,,,
36,54,2,,,
36,24,2,,,
23,35,3,,,
25,34,3,,,
23,35,3,,,
38,11,2,,,
7,2,3,,,
40,41,2,,,
65,1,6,,,1
65,2,6,,,1
65,3,6,,,1
65,5,6,,,1
65,6,6,,,1
65,10,6,,,1
65,45,6,,,1
65,46,6,,,1
65,47,6,,,1
65,48,6,,,1
65,49,6,,,1
65,50,6,,,1
66,55,7,,,2
66,20,7,,,2
66,11,7,,,2
66,12,7,,,2
66,13,7,,,2
66,35,7,,,2
66,34,7,,,2
66,33,7,,,2
66,37,7,,,2
66,38,7,,,2
66,39,7,,,2
67,40,8,,,3
67,41,8,,,3
67,42,8,,,3
67,43,8,,,3
67,44,8,,,3
14,57,9,,,
15,57,9,,,
16,57,9,,,
17,57,9,7,,
18,57,9,,,
19,57,9,,,
20,57,9,,,
21,57,9,,,
22,57,9,,,
23,57,9,,,
24,57,9,,,
25,57,9,9,,
6,58,9,,2,
7,58,9,,,
26,58,9,,2,
5,58,9,,2,
1,58,9,,,
3,58,9,,2,
2,58,9,,2,
4,58,9,4,,
30,58,9,,,
56,59,9,5,,
14,60,9,,,
52,60,9,,,
53,60,9,,,
15,60,9,8,,
36,60,9,,,
16,60,9,7,,
17,60,9,5,,
55,60,9,,,
18,60,9,10,,
19,60,9,,,
20,60,9,,,
21,60,9,,,
22,60,9,,,
23,60,9,,1,
24,60,9,,,
25,60,9,,,
61,30,9,,,
61,7,9,,,
62,40,9,,,
62,41,9,,,
62,42,9,,,
62,43,9,,,
62,44,9,,,
63,11,9,,,
63,12,9,,,
63,32,9,,,
63,13,9,,,
63,36,9,,,
63,35,9,,,
63,34,9,,,
63,20,9,,,
63,33,9,,,
63,37,9,,,
63,23,9,,,
63,39,9,,,
63,38,9,,,
69,3,3,,,
69,5,3,,,
69,8,2,,,
69,1,3,,,
69,6,2,,,
70,1,3,,,
70,9,2,,,
70,2,2,,,
70,8,3,,,
70,71,3,,,
70,69,3,,,
70,68,3,,,
70,31,3,,,
70,3,3,,,
70,5,3,,,
70,26,3,,,
70,6,3,,,
64,6,9,,,
64,9,9,,,
64,26,9,,,
64,5,9,,,
64,1,9,,,
64,3,9,,,
64,8,9,,,
64,2,9,,,
64,31,9,,,
64,68,9,,,
64,69,9,,,
64,70,9,,,
64,71,9,,,
8,65,6,,,1
64,45,9,,,
64,47,9,,,
64,48,9,,,
64,49,9,,,
64,50,9,,,